id,repo,owner
83222441,system-design-primer,donnemartin
21289110,awesome-python,vinta
21872392,awesome-machine-learning,josephmisiti
45723377,professional-programming,charlax
422274596,ColossalAI,hpcaitech
70905478,Deep-Learning-Papers-Reading-Roadmap,floodsung
162405963,gradio,gradio-app
145670234,mmdetection,open-mmlab
29749635,data-science-ipython-notebooks,donnemartin
42625970,labelImg,HumanSignal
65083316,Awesome-Linux-Software,luong-komorebi
106024057,pytorch_geometric,pyg-team
240315046,jina,jina-ai
149430917,recommenders,recommenders-team
629102662,LLaVA,haotian-liu
43425480,awesome-quant,wilsonfreitas
130474497,PyTorch-GAN,eriklindernoren
88285322,the-gan-zoo,hindupuravinash
135673451,nni,microsoft
130375797,dgl,dmlc
89846872,transferlearning,jindongwang
662028682,gaussian-splatting,graphdeco-inria
95817032,edgedb,edgedb
44104712,awesome-aws,donnemartin
92254860,pix2code,tonybeltramelli
365517762,External-Attention-pytorch,xmu-xiaoma666
478823173,DALLE2-pytorch,lucidrains
613731840,LLMSurvey,RUCAIBox
176982014,Megatron-LM,NVIDIA
7040500,falcon,falconry
21604505,awesome-scala,lauris
547806116,text-generation-inference,huggingface
125932201,ImageAI,OlafenwaMoses
191632914,hydra,facebookresearch
133717148,anomaly-detection-resources,yzhao062
201403923,deeplake,activeloopai
495587598,imagen-pytorch,lucidrains
151636194,server,triton-inference-server
273214029,PaddleGAN,PaddlePaddle
129815042,tianshou,thu-ml
342728683,cog,replicate
199509705,autogluon,autogluon
60626727,TensorLayer,tensorlayer
29439879,programming-talks,hellerve
788562361,corenet,apple
88444621,SerpentAI,SerpentAI
517552648,modelscope,modelscope
177023075,financial-machine-learning,firmai
101052455,Awesome-CoreML-Models,likedan
179728393,nlp-recipes,microsoft
243454957,DeepLearning,MingchaoZhu
164564630,Awesome-WAF,0xInfection
162015573,Github-Ranking,EvanLi
65851975,open_nsfw,yahoo
57182702,TopDeepLearning,aymericdamien
122896249,gluon-cv,dmlc
100464123,MMdnn,microsoft
23389271,pyAudioAnalysis,tyiannak
167349656,FATE,FederatedAI
327113050,DALLE-pytorch,lucidrains
181846371,nnUNet,MIC-DKFZ
278003645,mmpose,open-mmlab
157588610,torchdiffeq,rtqichen
299644773,WriteGPT,Turing-Project
80920452,deep_sort,nwojke
79848747,jwt_tool,ticarpi
43759462,DataSciencePython,ujjwalkarn
147583941,slither,crytic
194306461,DeepImage-an-Image-to-Image-technology,yuanxiaosc
113166974,scikit-opt,guofei9987
253975496,Resume-Matcher,srbhr
204734444,captum,pytorch
80492172,pointnet,charlesq34
646333922,ToolBench,OpenBMB
188584527,awesome-pretrained-chinese-nlp-models,lonePatient
164380611,deep-learning-roadmap,instillai
810449821,omniparse,adithya-s-k
111835796,ignite,pytorch
126897385,DeepLabCut,DeepLabCut
468601503,AI-Optimizer,TJU-DRL-LAB
306980630,x-transformers,lucidrains
332736941,nvitop,XuehaiPan
100249425,keras-retinanet,fizyr
42395733,awesome-iot,phodal
124800162,deep-person-reid,KaiyangZhou
259513732,PaddleRec,PaddlePaddle
534370412,GET3D,nv-tlabs
89074562,pytorch-cifar100,weiaicunzai
153097694,open_model_zoo,openvinotoolkit
510161994,software-papers,facundoolano
310027001,lightning-hydra-template,ashleve
223357324,CLUE,CLUEbenchmark
79584587,TensorFlowOnSpark,yahoo
266895706,awesome-mlops,kelvins
256262711,CS-Notes,huangrt01
189437648,SegLossOdyssey,JunMa11
97159209,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,TarrySingh
186526115,dlrm,facebookresearch
625274957,ChatGLM-Efficient-Tuning,hiyouga
98565575,ReAgent,facebookresearch
327949189,doctr,mindee
617219182,ChatDoctor,Kent0n-Li
164046740,face.evoLVe,ZhaoJ9014
455982203,awesome-systematic-trading,paperswithbacktest
564082244,TrollStore-IPAs,swaggyP36000
390401992,Merlion,salesforce
325758114,RepVGG,DingXiaoH
85491050,tensorforce,tensorforce
143090423,DeepKE,zjunlp
88890801,SRGAN,tensorlayer
137962296,learn_math_fast,llSourcell
324336022,Complete-Placement-Preparation,anushka23g
144504350,Deep-Learning-Roadmap,astorfi
346188421,leafmap,opengeos
180372347,HRNet-Semantic-Segmentation,HRNet
385532537,towhee,towhee-io
825429436,Paints-UNDO,lllyasviel
124146367,siamese-triplet,adambielski
85847327,awesome-hand-pose-estimation,xinghaochen
153490452,a-PyTorch-Tutorial-to-Object-Detection,sgrvinod
321426168,deepsparse,neuralmagic
133867923,nlp-architect,IntelLabs
298980599,Surface-Defect-Detection,Charmve
72790118,awesome-hacking,jekil
537972211,mmyolo,open-mmlab
438303578,docarray,docarray
382787545,DI-engine,opendilab
215173055,TextAttack,QData
141209050,cloudgoat,RhinoSecurityLabs
86332745,GAN,yfeng95
233910136,ddsp,magenta
629789089,segment-geospatial,opengeos
91730359,professional-services,GoogleCloudPlatform
155518202,PocketFlow,Tencent
160251929,ranking,tensorflow
195106258,Book,SuperCV
673412924,swift,modelscope
202577283,Resemblyzer,resemble-ai
743460469,Vim,hustvl
396609706,CodeT5,salesforce
203677928,awesome-discord-communities,mhxion
104916606,gradient-checkpointing,cybertronai
148087762,evadb,georgia-tech-db
110852412,HighwayEnv,Farama-Foundation
19918845,High-Frequency-Trading-Model-with-IB,jamesmawm
162696927,UNet-family,ShawnBIT
118840360,rlkit,rail-berkeley
436510608,deepdoctection,deepdoctection
477570603,awesome-game-security,gmh5225
179401695,MinkowskiEngine,NVIDIA
369428935,torchgeo,microsoft
145761123,AIF360,Trusted-AI
186166778,awesome-decision-tree-papers,benedekrozemberczki
134691520,python-api-tesing,china-testing
174076842,3D-PointCloud,zhulf0804
6501727,byte-of-python,swaroopch
153077001,Awesome-AutoDL,D-X-Y
129936360,pennylane,PennyLaneAI
775822419,open-parse,Filimoa
161199191,awesome-sentence-embedding,Separius
779669964,aiXcoder-7B,aixcoder-plugin
170580540,numpyro,pyro-ppl
298459550,SSL4MIS,HiLab-git
178800521,CelebAMask-HQ,switchablenorms
